id,path,r0,r1,c0,c1
13,/home/gaoha/epe/CarlaDsWithGBuffer/sp111-cloud0-pre0-fog0-sun70-n100-v100/1/rgb_v/1.png,350,546,654,850
14,/home/gaoha/epe/CarlaDsWithGBuffer/sp111-cloud0-pre0-fog0-sun70-n100-v100/1/rgb_v/1.png,115,311,39,235
15,/home/gaoha/epe/CarlaDsWithGBuffer/sp111-cloud0-pre0-fog0-sun70-n100-v100/1/rgb_v/10.png,74,270,568,764
16,/home/gaoha/epe/CarlaDsWithGBuffer/sp111-cloud0-pre0-fog0-sun70-n100-v100/1/rgb_v/10.png,262,458,846,1042
17,/home/gaoha/epe/CarlaDsWithGBuffer/sp111-cloud0-pre0-fog0-sun70-n100-v100/1/rgb_v/10.png,311,507,691,887
18,/home/gaoha/epe/CarlaDsWithGBuffer/sp111-cloud0-pre0-fog0-sun70-n100-v100/1/rgb_v/10.png,193,389,696,892
19,/home/gaoha/epe/CarlaDsWithGBuffer/sp111-cloud0-pre0-fog0-sun70-n100-v100/1/rgb_v/10.png,376,572,712,908
20,/home/gaoha/epe/CarlaDsWithGBuffer/sp111-cloud0-pre0-fog0-sun70-n100-v100/1/rgb_v/10.png,521,717,703,899
21,/home/gaoha/epe/CarlaDsWithGBuffer/sp111-cloud0-pre0-fog0-sun70-n100-v100/1/rgb_v/10.png,444,640,825,1021
22,/home/gaoha/epe/CarlaDsWithGBuffer/sp111-cloud0-pre0-fog0-sun70-n100-v100/1/rgb_v/10.png,237,433,323,519
23,/home/gaoha/epe/CarlaDsWithGBuffer/sp111-cloud0-pre0-fog0-sun70-n100-v100/1/rgb_v/10.png,35,231,148,344
24,/home/gaoha/epe/CarlaDsWithGBuffer/sp111-cloud0-pre0-fog0-sun70-n100-v100/1/rgb_v/10.png,116,312,833,1029
25,/home/gaoha/epe/CarlaDsWithGBuffer/sp111-cloud0-pre0-fog0-sun70-n100-v100/1/rgb_v/10.png,291,487,859,1055
26,/home/gaoha/epe/CarlaDsWithGBuffer/sp111-cloud0-pre0-fog0-sun70-n100-v100/1/rgb_v/10.png,347,543,601,797
27,/home/gaoha/epe/CarlaDsWithGBuffer/sp111-cloud0-pre0-fog0-sun70-n100-v100/1/rgb_v/10.png,290,486,323,519
28,/home/gaoha/epe/CarlaDsWithGBuffer/sp111-cloud0-pre0-fog0-sun70-n100-v100/1/rgb_v/10.png,295,491,890,1086
29,/home/gaoha/epe/CarlaDsWithGBuffer/sp111-cloud0-pre0-fog0-sun70-n100-v100/1/rgb_v/10.png,317,513,1029,1225
30,/home/gaoha/epe/CarlaDsWithGBuffer/sp111-cloud0-pre0-fog0-sun70-n100-v100/1/rgb_v/100.png,16,212,745,941
31,/home/gaoha/epe/CarlaDsWithGBuffer/sp111-cloud0-pre0-fog0-sun70-n100-v100/1/rgb_v/100.png,442,638,596,792
32,/home/gaoha/epe/CarlaDsWithGBuffer/sp111-cloud0-pre0-fog0-sun70-n100-v100/1/rgb_v/100.png,382,578,406,602
33,/home/gaoha/epe/CarlaDsWithGBuffer/sp111-cloud0-pre0-fog0-sun70-n100-v100/1/rgb_v/100.png,127,323,868,1064
34,/home/gaoha/epe/CarlaDsWithGBuffer/sp111-cloud0-pre0-fog0-sun70-n100-v100/1/rgb_v/100.png,64,260,46,242
35,/home/gaoha/epe/CarlaDsWithGBuffer/sp111-cloud0-pre0-fog0-sun70-n100-v100/1/rgb_v/100.png,483,679,1001,1197
36,/home/gaoha/epe/CarlaDsWithGBuffer/sp111-cloud0-pre0-fog0-sun70-n100-v100/1/rgb_v/100.png,342,538,841,1037
37,/home/gaoha/epe/CarlaDsWithGBuffer/sp111-cloud0-pre0-fog0-sun70-n100-v100/1/rgb_v/100.png,263,459,883,1079
38,/home/gaoha/epe/CarlaDsWithGBuffer/sp111-cloud0-pre0-fog0-sun70-n100-v100/1/rgb_v/100.png,427,623,634,830
39,/home/gaoha/epe/CarlaDsWithGBuffer/sp111-cloud0-pre0-fog0-sun70-n100-v100/1/rgb_v/100.png,244,440,63,259
40,/home/gaoha/epe/CarlaDsWithGBuffer/sp111-cloud0-pre0-fog0-sun70-n100-v100/1/rgb_v/100.png,507,703,665,861
41,/home/gaoha/epe/CarlaDsWithGBuffer/sp111-cloud0-pre0-fog0-sun70-n100-v100/1/rgb_v/100.png,206,402,1047,1243
42,/home/gaoha/epe/CarlaDsWithGBuffer/sp111-cloud0-pre0-fog0-sun70-n100-v100/1/rgb_v/100.png,8,204,118,314
43,/home/gaoha/epe/CarlaDsWithGBuffer/sp111-cloud0-pre0-fog0-sun70-n100-v100/1/rgb_v/100.png,138,334,878,1074
44,/home/gaoha/epe/CarlaDsWithGBuffer/sp111-cloud0-pre0-fog0-sun70-n100-v100/1/rgb_v/100.png,11,207,410,606
45,/home/gaoha/epe/CarlaDsWithGBuffer/sp111-cloud0-pre0-fog0-sun70-n100-v100/1/rgb_v/101.png,55,251,966,1162
46,/home/gaoha/epe/CarlaDsWithGBuffer/sp111-cloud0-pre0-fog0-sun70-n100-v100/1/rgb_v/101.png,187,383,710,906
47,/home/gaoha/epe/CarlaDsWithGBuffer/sp111-cloud0-pre0-fog0-sun70-n100-v100/1/rgb_v/101.png,55,251,586,782
48,/home/gaoha/epe/CarlaDsWithGBuffer/sp111-cloud0-pre0-fog0-sun70-n100-v100/1/rgb_v/101.png,5,201,529,725
49,/home/gaoha/epe/CarlaDsWithGBuffer/sp111-cloud0-pre0-fog0-sun70-n100-v100/1/rgb_v/101.png,502,698,1001,1197
50,/home/gaoha/epe/CarlaDsWithGBuffer/sp111-cloud0-pre0-fog0-sun70-n100-v100/1/rgb_v/101.png,483,679,744,940
51,/home/gaoha/epe/CarlaDsWithGBuffer/sp111-cloud0-pre0-fog0-sun70-n100-v100/1/rgb_v/101.png,144,340,549,745
52,/home/gaoha/epe/CarlaDsWithGBuffer/sp111-cloud0-pre0-fog0-sun70-n100-v100/1/rgb_v/101.png,299,495,54,250
53,/home/gaoha/epe/CarlaDsWithGBuffer/sp111-cloud0-pre0-fog0-sun70-n100-v100/1/rgb_v/101.png,217,413,968,1164
54,/home/gaoha/epe/CarlaDsWithGBuffer/sp111-cloud0-pre0-fog0-sun70-n100-v100/1/rgb_v/101.png,130,326,1059,1255
55,/home/gaoha/epe/CarlaDsWithGBuffer/sp111-cloud0-pre0-fog0-sun70-n100-v100/1/rgb_v/101.png,216,412,515,711
56,/home/gaoha/epe/CarlaDsWithGBuffer/sp111-cloud0-pre0-fog0-sun70-n100-v100/1/rgb_v/101.png,466,662,604,800
57,/home/gaoha/epe/CarlaDsWithGBuffer/sp111-cloud0-pre0-fog0-sun70-n100-v100/1/rgb_v/101.png,234,430,88,284
58,/home/gaoha/epe/CarlaDsWithGBuffer/sp111-cloud0-pre0-fog0-sun70-n100-v100/1/rgb_v/101.png,318,514,861,1057
59,/home/gaoha/epe/CarlaDsWithGBuffer/sp111-cloud0-pre0-fog0-sun70-n100-v100/1/rgb_v/101.png,370,566,778,974
60,/home/gaoha/epe/CarlaDsWithGBuffer/sp111-cloud0-pre0-fog0-sun70-n100-v100/1/rgb_v/102.png,130,326,271,467
61,/home/gaoha/epe/CarlaDsWithGBuffer/sp111-cloud0-pre0-fog0-sun70-n100-v100/1/rgb_v/102.png,278,474,481,677
62,/home/gaoha/epe/CarlaDsWithGBuffer/sp111-cloud0-pre0-fog0-sun70-n100-v100/1/rgb_v/102.png,183,379,1021,1217
63,/home/gaoha/epe/CarlaDsWithGBuffer/sp111-cloud0-pre0-fog0-sun70-n100-v100/1/rgb_v/102.png,116,312,1002,1198
64,/home/gaoha/epe/CarlaDsWithGBuffer/sp111-cloud0-pre0-fog0-sun70-n100-v100/1/rgb_v/102.png,461,657,644,840
65,/home/gaoha/epe/CarlaDsWithGBuffer/sp111-cloud0-pre0-fog0-sun70-n100-v100/1/rgb_v/102.png,513,709,27,223
66,/home/gaoha/epe/CarlaDsWithGBuffer/sp111-cloud0-pre0-fog0-sun70-n100-v100/1/rgb_v/102.png,335,531,806,1002
67,/home/gaoha/epe/CarlaDsWithGBuffer/sp111-cloud0-pre0-fog0-sun70-n100-v100/1/rgb_v/102.png,493,689,28,224
68,/home/gaoha/epe/CarlaDsWithGBuffer/sp111-cloud0-pre0-fog0-sun70-n100-v100/1/rgb_v/102.png,410,606,201,397
69,/home/gaoha/epe/CarlaDsWithGBuffer/sp111-cloud0-pre0-fog0-sun70-n100-v100/1/rgb_v/102.png,99,295,18,214
70,/home/gaoha/epe/CarlaDsWithGBuffer/sp111-cloud0-pre0-fog0-sun70-n100-v100/1/rgb_v/102.png,137,333,836,1032
71,/home/gaoha/epe/CarlaDsWithGBuffer/sp111-cloud0-pre0-fog0-sun70-n100-v100/1/rgb_v/102.png,233,429,975,1171
72,/home/gaoha/epe/CarlaDsWithGBuffer/sp111-cloud0-pre0-fog0-sun70-n100-v100/1/rgb_v/102.png,236,432,445,641
73,/home/gaoha/epe/CarlaDsWithGBuffer/sp111-cloud0-pre0-fog0-sun70-n100-v100/1/rgb_v/102.png,398,594,856,1052
74,/home/gaoha/epe/CarlaDsWithGBuffer/sp111-cloud0-pre0-fog0-sun70-n100-v100/1/rgb_v/102.png,45,241,989,1185
75,/home/gaoha/epe/CarlaDsWithGBuffer/sp111-cloud0-pre0-fog0-sun70-n100-v100/1/rgb_v/103.png,358,554,84,280
76,/home/gaoha/epe/CarlaDsWithGBuffer/sp111-cloud0-pre0-fog0-sun70-n100-v100/1/rgb_v/103.png,210,406,791,987
77,/home/gaoha/epe/CarlaDsWithGBuffer/sp111-cloud0-pre0-fog0-sun70-n100-v100/1/rgb_v/103.png,347,543,623,819
78,/home/gaoha/epe/CarlaDsWithGBuffer/sp111-cloud0-pre0-fog0-sun70-n100-v100/1/rgb_v/103.png,248,444,770,966
79,/home/gaoha/epe/CarlaDsWithGBuffer/sp111-cloud0-pre0-fog0-sun70-n100-v100/1/rgb_v/103.png,73,269,877,1073
80,/home/gaoha/epe/CarlaDsWithGBuffer/sp111-cloud0-pre0-fog0-sun70-n100-v100/1/rgb_v/103.png,190,386,114,310
81,/home/gaoha/epe/CarlaDsWithGBuffer/sp111-cloud0-pre0-fog0-sun70-n100-v100/1/rgb_v/103.png,389,585,574,770
82,/home/gaoha/epe/CarlaDsWithGBuffer/sp111-cloud0-pre0-fog0-sun70-n100-v100/1/rgb_v/103.png,251,447,671,867
83,/home/gaoha/epe/CarlaDsWithGBuffer/sp111-cloud0-pre0-fog0-sun70-n100-v100/1/rgb_v/103.png,214,410,648,844
84,/home/gaoha/epe/CarlaDsWithGBuffer/sp111-cloud0-pre0-fog0-sun70-n100-v100/1/rgb_v/103.png,271,467,258,454
85,/home/gaoha/epe/CarlaDsWithGBuffer/sp111-cloud0-pre0-fog0-sun70-n100-v100/1/rgb_v/103.png,211,407,24,220
86,/home/gaoha/epe/CarlaDsWithGBuffer/sp111-cloud0-pre0-fog0-sun70-n100-v100/1/rgb_v/103.png,446,642,154,350
87,/home/gaoha/epe/CarlaDsWithGBuffer/sp111-cloud0-pre0-fog0-sun70-n100-v100/1/rgb_v/103.png,287,483,297,493
88,/home/gaoha/epe/CarlaDsWithGBuffer/sp111-cloud0-pre0-fog0-sun70-n100-v100/1/rgb_v/103.png,518,714,879,1075
89,/home/gaoha/epe/CarlaDsWithGBuffer/sp111-cloud0-pre0-fog0-sun70-n100-v100/1/rgb_v/103.png,74,270,38,234
90,/home/gaoha/epe/CarlaDsWithGBuffer/sp111-cloud0-pre0-fog0-sun70-n100-v100/1/rgb_v/104.png,158,354,638,834
91,/home/gaoha/epe/CarlaDsWithGBuffer/sp111-cloud0-pre0-fog0-sun70-n100-v100/1/rgb_v/104.png,112,308,823,1019
92,/home/gaoha/epe/CarlaDsWithGBuffer/sp111-cloud0-pre0-fog0-sun70-n100-v100/1/rgb_v/104.png,308,504,353,549
93,/home/gaoha/epe/CarlaDsWithGBuffer/sp111-cloud0-pre0-fog0-sun70-n100-v100/1/rgb_v/104.png,177,373,290,486
94,/home/gaoha/epe/CarlaDsWithGBuffer/sp111-cloud0-pre0-fog0-sun70-n100-v100/1/rgb_v/104.png,161,357,303,499
95,/home/gaoha/epe/CarlaDsWithGBuffer/sp111-cloud0-pre0-fog0-sun70-n100-v100/1/rgb_v/104.png,394,590,771,967
96,/home/gaoha/epe/CarlaDsWithGBuffer/sp111-cloud0-pre0-fog0-sun70-n100-v100/1/rgb_v/104.png,363,559,662,858
97,/home/gaoha/epe/CarlaDsWithGBuffer/sp111-cloud0-pre0-fog0-sun70-n100-v100/1/rgb_v/104.png,104,300,678,874
98,/home/gaoha/epe/CarlaDsWithGBuffer/sp111-cloud0-pre0-fog0-sun70-n100-v100/1/rgb_v/104.png,367,563,918,1114
99,/home/gaoha/epe/CarlaDsWithGBuffer/sp111-cloud0-pre0-fog0-sun70-n100-v100/1/rgb_v/104.png,206,402,588,784
100,/home/gaoha/epe/CarlaDsWithGBuffer/sp111-cloud0-pre0-fog0-sun70-n100-v100/1/rgb_v/104.png,70,266,460,656
101,/home/gaoha/epe/CarlaDsWithGBuffer/sp111-cloud0-pre0-fog0-sun70-n100-v100/1/rgb_v/104.png,230,426,162,358
102,/home/gaoha/epe/CarlaDsWithGBuffer/sp111-cloud0-pre0-fog0-sun70-n100-v100/1/rgb_v/104.png,335,531,59,255
103,/home/gaoha/epe/CarlaDsWithGBuffer/sp111-cloud0-pre0-fog0-sun70-n100-v100/1/rgb_v/104.png,252,448,703,899
104,/home/gaoha/epe/CarlaDsWithGBuffer/sp111-cloud0-pre0-fog0-sun70-n100-v100/1/rgb_v/104.png,32,228,614,810
105,/home/gaoha/epe/CarlaDsWithGBuffer/sp111-cloud0-pre0-fog0-sun70-n100-v100/1/rgb_v/105.png,68,264,976,1172
106,/home/gaoha/epe/CarlaDsWithGBuffer/sp111-cloud0-pre0-fog0-sun70-n100-v100/1/rgb_v/105.png,73,269,783,979
107,/home/gaoha/epe/CarlaDsWithGBuffer/sp111-cloud0-pre0-fog0-sun70-n100-v100/1/rgb_v/105.png,499,695,823,1019
108,/home/gaoha/epe/CarlaDsWithGBuffer/sp111-cloud0-pre0-fog0-sun70-n100-v100/1/rgb_v/105.png,258,454,965,1161
109,/home/gaoha/epe/CarlaDsWithGBuffer/sp111-cloud0-pre0-fog0-sun70-n100-v100/1/rgb_v/105.png,2,198,108,304
110,/home/gaoha/epe/CarlaDsWithGBuffer/sp111-cloud0-pre0-fog0-sun70-n100-v100/1/rgb_v/105.png,209,405,796,992
111,/home/gaoha/epe/CarlaDsWithGBuffer/sp111-cloud0-pre0-fog0-sun70-n100-v100/1/rgb_v/105.png,154,350,995,1191
112,/home/gaoha/epe/CarlaDsWithGBuffer/sp111-cloud0-pre0-fog0-sun70-n100-v100/1/rgb_v/105.png,502,698,242,438
113,/home/gaoha/epe/CarlaDsWithGBuffer/sp111-cloud0-pre0-fog0-sun70-n100-v100/1/rgb_v/105.png,5,201,1065,1261
114,/home/gaoha/epe/CarlaDsWithGBuffer/sp111-cloud0-pre0-fog0-sun70-n100-v100/1/rgb_v/105.png,409,605,169,365
115,/home/gaoha/epe/CarlaDsWithGBuffer/sp111-cloud0-pre0-fog0-sun70-n100-v100/1/rgb_v/105.png,105,301,249,445
116,/home/gaoha/epe/CarlaDsWithGBuffer/sp111-cloud0-pre0-fog0-sun70-n100-v100/1/rgb_v/105.png,495,691,920,1116
117,/home/gaoha/epe/CarlaDsWithGBuffer/sp111-cloud0-pre0-fog0-sun70-n100-v100/1/rgb_v/105.png,70,266,96,292
118,/home/gaoha/epe/CarlaDsWithGBuffer/sp111-cloud0-pre0-fog0-sun70-n100-v100/1/rgb_v/105.png,226,422,818,1014
119,/home/gaoha/epe/CarlaDsWithGBuffer/sp111-cloud0-pre0-fog0-sun70-n100-v100/1/rgb_v/105.png,111,307,458,654
120,/home/gaoha/epe/CarlaDsWithGBuffer/sp111-cloud0-pre0-fog0-sun70-n100-v100/1/rgb_v/106.png,373,569,117,313
121,/home/gaoha/epe/CarlaDsWithGBuffer/sp111-cloud0-pre0-fog0-sun70-n100-v100/1/rgb_v/106.png,266,462,535,731
122,/home/gaoha/epe/CarlaDsWithGBuffer/sp111-cloud0-pre0-fog0-sun70-n100-v100/1/rgb_v/106.png,89,285,290,486
123,/home/gaoha/epe/CarlaDsWithGBuffer/sp111-cloud0-pre0-fog0-sun70-n100-v100/1/rgb_v/106.png,273,469,556,752
124,/home/gaoha/epe/CarlaDsWithGBuffer/sp111-cloud0-pre0-fog0-sun70-n100-v100/1/rgb_v/106.png,361,557,973,1169
125,/home/gaoha/epe/CarlaDsWithGBuffer/sp111-cloud0-pre0-fog0-sun70-n100-v100/1/rgb_v/106.png,391,587,24,220
126,/home/gaoha/epe/CarlaDsWithGBuffer/sp111-cloud0-pre0-fog0-sun70-n100-v100/1/rgb_v/106.png,401,597,707,903
127,/home/gaoha/epe/CarlaDsWithGBuffer/sp111-cloud0-pre0-fog0-sun70-n100-v100/1/rgb_v/106.png,419,615,1062,1258
128,/home/gaoha/epe/CarlaDsWithGBuffer/sp111-cloud0-pre0-fog0-sun70-n100-v100/1/rgb_v/106.png,453,649,438,634
129,/home/gaoha/epe/CarlaDsWithGBuffer/sp111-cloud0-pre0-fog0-sun70-n100-v100/1/rgb_v/106.png,107,303,518,714
130,/home/gaoha/epe/CarlaDsWithGBuffer/sp111-cloud0-pre0-fog0-sun70-n100-v100/1/rgb_v/106.png,135,331,20,216
131,/home/gaoha/epe/CarlaDsWithGBuffer/sp111-cloud0-pre0-fog0-sun70-n100-v100/1/rgb_v/106.png,322,518,79,275
132,/home/gaoha/epe/CarlaDsWithGBuffer/sp111-cloud0-pre0-fog0-sun70-n100-v100/1/rgb_v/106.png,356,552,933,1129
133,/home/gaoha/epe/CarlaDsWithGBuffer/sp111-cloud0-pre0-fog0-sun70-n100-v100/1/rgb_v/106.png,125,321,338,534
134,/home/gaoha/epe/CarlaDsWithGBuffer/sp111-cloud0-pre0-fog0-sun70-n100-v100/1/rgb_v/106.png,511,707,725,921
135,/home/gaoha/epe/CarlaDsWithGBuffer/sp111-cloud0-pre0-fog0-sun70-n100-v100/1/rgb_v/107.png,464,660,501,697
136,/home/gaoha/epe/CarlaDsWithGBuffer/sp111-cloud0-pre0-fog0-sun70-n100-v100/1/rgb_v/107.png,361,557,749,945
137,/home/gaoha/epe/CarlaDsWithGBuffer/sp111-cloud0-pre0-fog0-sun70-n100-v100/1/rgb_v/107.png,339,535,395,591
138,/home/gaoha/epe/CarlaDsWithGBuffer/sp111-cloud0-pre0-fog0-sun70-n100-v100/1/rgb_v/107.png,221,417,233,429
139,/home/gaoha/epe/CarlaDsWithGBuffer/sp111-cloud0-pre0-fog0-sun70-n100-v100/1/rgb_v/107.png,118,314,876,1072
140,/home/gaoha/epe/CarlaDsWithGBuffer/sp111-cloud0-pre0-fog0-sun70-n100-v100/1/rgb_v/107.png,62,258,28,224
141,/home/gaoha/epe/CarlaDsWithGBuffer/sp111-cloud0-pre0-fog0-sun70-n100-v100/1/rgb_v/107.png,450,646,433,629
142,/home/gaoha/epe/CarlaDsWithGBuffer/sp111-cloud0-pre0-fog0-sun70-n100-v100/1/rgb_v/107.png,137,333,732,928
143,/home/gaoha/epe/CarlaDsWithGBuffer/sp111-cloud0-pre0-fog0-sun70-n100-v100/1/rgb_v/107.png,262,458,981,1177
144,/home/gaoha/epe/CarlaDsWithGBuffer/sp111-cloud0-pre0-fog0-sun70-n100-v100/1/rgb_v/107.png,407,603,871,1067
145,/home/gaoha/epe/CarlaDsWithGBuffer/sp111-cloud0-pre0-fog0-sun70-n100-v100/1/rgb_v/107.png,443,639,70,266
146,/home/gaoha/epe/CarlaDsWithGBuffer/sp111-cloud0-pre0-fog0-sun70-n100-v100/1/rgb_v/107.png,218,414,390,586
147,/home/gaoha/epe/CarlaDsWithGBuffer/sp111-cloud0-pre0-fog0-sun70-n100-v100/1/rgb_v/107.png,251,447,918,1114
148,/home/gaoha/epe/CarlaDsWithGBuffer/sp111-cloud0-pre0-fog0-sun70-n100-v100/1/rgb_v/107.png,499,695,28,224
149,/home/gaoha/epe/CarlaDsWithGBuffer/sp111-cloud0-pre0-fog0-sun70-n100-v100/1/rgb_v/107.png,208,404,633,829
150,/home/gaoha/epe/CarlaDsWithGBuffer/sp111-cloud0-pre0-fog0-sun70-n100-v100/1/rgb_v/108.png,119,315,168,364
151,/home/gaoha/epe/CarlaDsWithGBuffer/sp111-cloud0-pre0-fog0-sun70-n100-v100/1/rgb_v/108.png,181,377,676,872
152,/home/gaoha/epe/CarlaDsWithGBuffer/sp111-cloud0-pre0-fog0-sun70-n100-v100/1/rgb_v/108.png,84,280,804,1000
153,/home/gaoha/epe/CarlaDsWithGBuffer/sp111-cloud0-pre0-fog0-sun70-n100-v100/1/rgb_v/108.png,252,448,513,709
154,/home/gaoha/epe/CarlaDsWithGBuffer/sp111-cloud0-pre0-fog0-sun70-n100-v100/1/rgb_v/108.png,461,657,133,329
155,/home/gaoha/epe/CarlaDsWithGBuffer/sp111-cloud0-pre0-fog0-sun70-n100-v100/1/rgb_v/108.png,274,470,25,221
156,/home/gaoha/epe/CarlaDsWithGBuffer/sp111-cloud0-pre0-fog0-sun70-n100-v100/1/rgb_v/108.png,340,536,954,1150
157,/home/gaoha/epe/CarlaDsWithGBuffer/sp111-cloud0-pre0-fog0-sun70-n100-v100/1/rgb_v/108.png,246,442,239,435
158,/home/gaoha/epe/CarlaDsWithGBuffer/sp111-cloud0-pre0-fog0-sun70-n100-v100/1/rgb_v/108.png,289,485,647,843
159,/home/gaoha/epe/CarlaDsWithGBuffer/sp111-cloud0-pre0-fog0-sun70-n100-v100/1/rgb_v/108.png,370,566,727,923
160,/home/gaoha/epe/CarlaDsWithGBuffer/sp111-cloud0-pre0-fog0-sun70-n100-v100/1/rgb_v/108.png,321,517,928,1124
161,/home/gaoha/epe/CarlaDsWithGBuffer/sp111-cloud0-pre0-fog0-sun70-n100-v100/1/rgb_v/108.png,140,336,111,307
162,/home/gaoha/epe/CarlaDsWithGBuffer/sp111-cloud0-pre0-fog0-sun70-n100-v100/1/rgb_v/108.png,181,377,1028,1224
163,/home/gaoha/epe/CarlaDsWithGBuffer/sp111-cloud0-pre0-fog0-sun70-n100-v100/1/rgb_v/108.png,48,244,770,966
164,/home/gaoha/epe/CarlaDsWithGBuffer/sp111-cloud0-pre0-fog0-sun70-n100-v100/1/rgb_v/108.png,291,487,148,344
165,/home/gaoha/epe/CarlaDsWithGBuffer/sp111-cloud0-pre0-fog0-sun70-n100-v100/1/rgb_v/109.png,325,521,461,657
166,/home/gaoha/epe/CarlaDsWithGBuffer/sp111-cloud0-pre0-fog0-sun70-n100-v100/1/rgb_v/109.png,389,585,701,897
167,/home/gaoha/epe/CarlaDsWithGBuffer/sp111-cloud0-pre0-fog0-sun70-n100-v100/1/rgb_v/109.png,54,250,839,1035
168,/home/gaoha/epe/CarlaDsWithGBuffer/sp111-cloud0-pre0-fog0-sun70-n100-v100/1/rgb_v/109.png,150,346,543,739
169,/home/gaoha/epe/CarlaDsWithGBuffer/sp111-cloud0-pre0-fog0-sun70-n100-v100/1/rgb_v/109.png,443,639,889,1085
170,/home/gaoha/epe/CarlaDsWithGBuffer/sp111-cloud0-pre0-fog0-sun70-n100-v100/1/rgb_v/109.png,302,498,869,1065
171,/home/gaoha/epe/CarlaDsWithGBuffer/sp111-cloud0-pre0-fog0-sun70-n100-v100/1/rgb_v/109.png,146,342,498,694
172,/home/gaoha/epe/CarlaDsWithGBuffer/sp111-cloud0-pre0-fog0-sun70-n100-v100/1/rgb_v/109.png,380,576,1049,1245
173,/home/gaoha/epe/CarlaDsWithGBuffer/sp111-cloud0-pre0-fog0-sun70-n100-v100/1/rgb_v/109.png,2,198,781,977
174,/home/gaoha/epe/CarlaDsWithGBuffer/sp111-cloud0-pre0-fog0-sun70-n100-v100/1/rgb_v/109.png,72,268,1059,1255
175,/home/gaoha/epe/CarlaDsWithGBuffer/sp111-cloud0-pre0-fog0-sun70-n100-v100/1/rgb_v/109.png,167,363,279,475
176,/home/gaoha/epe/CarlaDsWithGBuffer/sp111-cloud0-pre0-fog0-sun70-n100-v100/1/rgb_v/109.png,70,266,669,865
177,/home/gaoha/epe/CarlaDsWithGBuffer/sp111-cloud0-pre0-fog0-sun70-n100-v100/1/rgb_v/109.png,271,467,152,348
178,/home/gaoha/epe/CarlaDsWithGBuffer/sp111-cloud0-pre0-fog0-sun70-n100-v100/1/rgb_v/109.png,73,269,931,1127
179,/home/gaoha/epe/CarlaDsWithGBuffer/sp111-cloud0-pre0-fog0-sun70-n100-v100/1/rgb_v/109.png,487,683,479,675
180,/home/gaoha/epe/CarlaDsWithGBuffer/sp111-cloud0-pre0-fog0-sun70-n100-v100/1/rgb_v/11.png,269,465,958,1154
181,/home/gaoha/epe/CarlaDsWithGBuffer/sp111-cloud0-pre0-fog0-sun70-n100-v100/1/rgb_v/11.png,446,642,961,1157
182,/home/gaoha/epe/CarlaDsWithGBuffer/sp111-cloud0-pre0-fog0-sun70-n100-v100/1/rgb_v/11.png,342,538,349,545
183,/home/gaoha/epe/CarlaDsWithGBuffer/sp111-cloud0-pre0-fog0-sun70-n100-v100/1/rgb_v/11.png,110,306,824,1020
184,/home/gaoha/epe/CarlaDsWithGBuffer/sp111-cloud0-pre0-fog0-sun70-n100-v100/1/rgb_v/11.png,96,292,137,333
185,/home/gaoha/epe/CarlaDsWithGBuffer/sp111-cloud0-pre0-fog0-sun70-n100-v100/1/rgb_v/11.png,84,280,547,743
186,/home/gaoha/epe/CarlaDsWithGBuffer/sp111-cloud0-pre0-fog0-sun70-n100-v100/1/rgb_v/11.png,253,449,614,810
